1	大众	229015	2178402	朗逸
2	本田	159536	1521877	CR-V
3	丰田	144888	1659948	凯美瑞
4	吉利	125694	1072519	远景SUV
5	日产	109459	950511	轩逸
6	别克	61967	828640	GL8
7	哈弗	71218	780873	H6
8	现代	24056	360565	ix35
9	长安	118849	925230	逸动
10	五菱	74265	1050933	荣光V
11	奥迪	63054	643500	A4L
12	宝骏	11254	184103	530
13	奔驰	57615	598204	GLC级
14	宝马	80534	673608	5系
15	雪佛兰	25823	269261	赛欧三厢
16	比亚迪	95180	730093	秦
17	荣威	40745	390555	Ei5
18	奇瑞	0	283997	瑞虎8
19	广汽传祺	36564	324201	GM8
20	起亚	13780	163383	焕驰
21	斯柯达	4738	42767	柯米克
22	MG	24578	402436	MG5
23	福特	22420	274510	福睿斯
24	马自达	19888	164415	昂克赛拉三厢
25	凯迪拉克	22217	233120	XT5
26	东风风光	17332	159540	风光S560
27	沃尔沃	17546	172235	XC60混合动力
28	捷途	10050	154077	X70
29	长安欧尚	44900	297230	欧尚
30	江淮	2785	42949	第二代瑞风S3
31	三菱	3982	67461	新劲炫 ASX
32	领克	17786	221878	领克03
33	奔腾	5466	74055	B70
34	东风启辰	0	0	D60
35	众泰	0	0	Z500
36	东风风行	12765	122261	菱智
37	WEY	0	50039	VV6
38	金杯	7070	95134	小海狮X30
39	红旗	42158	300623	H5
40	北汽绅宝	0	0	D50
41	Jeep	1725	20123	大指挥官
42	东风风神	13490	98458	AX7
43	上汽大通MAXUS	5311	55896	G10
44	标致	6251	51066	408
45	宝沃	0	3612	BX7
46	斯威	1867	37458	X7
47	英菲尼迪	4979	60145	QX50
48	北汽幻速	0	23	S6
49	雪铁龙	6750	46741	天逸C5 Aircross
50	北汽新能源	79	499	EX系列
51	广汽新能源	0	0	传祺GS4 PHEV
52	东风小康	2939	37017	小康K07II
53	路虎	3042	54618	揽胜极光
54	君马汽车	0	0	SEEK 5
55	欧拉	0	0	iQ
56	东南	623	6971	DX3
57	华泰	0	0	圣达菲
58	铃木	1646	10468	启悦
59	中华	0	0	骏捷
60	昌河	60	2045	M50
61	观致	0	5234	观致3轿车
62	蔚来汽车	10700	92871	ES8
63	凯翼	1416	20123	X3
64	猎豹	0	0	CS9新能源
65	雷诺	0	83	科雷傲
66	东风	5084	22232	俊风
67	捷豹	0	0	XFL
68	小鹏汽车	12922	98136	睿行S50
1	大众	229015	2178402	朗逸
2	本田	159536	1521877	CR-V
3	丰田	144888	1659948	凯美瑞
4	吉利	125694	1072519	远景SUV
5	日产	109459	950511	轩逸
6	别克	61967	828640	GL8
7	哈弗	71218	780873	H6
8	现代	24056	360565	ix35
9	长安	118849	925230	逸动
10	五菱	74265	1050933	荣光V
11	奥迪	63054	643500	A4L
12	宝骏	11254	184103	530
13	奔驰	57615	598204	GLC级
14	宝马	80534	673608	5系
15	雪佛兰	25823	269261	赛欧三厢
16	比亚迪	95180	730093	秦
17	荣威	40745	390555	Ei5
18	奇瑞	0	283997	瑞虎8
19	广汽传祺	36564	324201	GM8
20	起亚	13780	163383	焕驰
21	斯柯达	4738	42767	柯米克
22	MG	24578	402436	MG5
23	福特	22420	274510	福睿斯
24	马自达	19888	164415	昂克赛拉三厢
25	凯迪拉克	22217	233120	XT5
26	东风风光	17332	159540	风光S560
27	沃尔沃	17546	172235	XC60混合动力
28	捷途	10050	154077	X70
29	长安欧尚	44900	297230	欧尚
30	江淮	2785	42949	第二代瑞风S3
31	三菱	3982	67461	新劲炫 ASX
32	领克	17786	221878	领克03
33	奔腾	5466	74055	B70
34	东风启辰	0	0	D60
35	众泰	0	0	Z500
36	东风风行	12765	122261	菱智
37	WEY	0	50039	VV6
38	金杯	7070	95134	小海狮X30
39	红旗	42158	300623	H5
40	北汽绅宝	0	0	D50
41	Jeep	1725	20123	大指挥官
42	东风风神	13490	98458	AX7
43	上汽大通MAXUS	5311	55896	G10
44	标致	6251	51066	408
45	宝沃	0	3612	BX7
46	斯威	1867	37458	X7
47	英菲尼迪	4979	60145	QX50
48	北汽幻速	0	23	S6
49	雪铁龙	6750	46741	天逸C5 Aircross
50	北汽新能源	79	499	EX系列
51	广汽新能源	0	0	传祺GS4 PHEV
52	东风小康	2939	37017	小康K07II
53	路虎	3042	54618	揽胜极光
54	君马汽车	0	0	SEEK 5
55	欧拉	0	0	iQ
56	东南	623	6971	DX3
57	华泰	0	0	圣达菲
58	铃木	1646	10468	启悦
59	中华	0	0	骏捷
60	昌河	60	2045	M50
61	观致	0	5234	观致3轿车
62	蔚来汽车	10700	92871	ES8
63	凯翼	1416	20123	X3
64	猎豹	0	0	CS9新能源
65	雷诺	0	83	科雷傲
66	东风	5084	22232	俊风
67	捷豹	0	0	XFL
68	小鹏汽车	12922	98136	睿行S50
